name,description
Fiction,Imaginative and narrative literature that explores human experiences through storytelling
Non-Fiction,Factual and informative literature based on real events and people
Science Fiction,Speculative fiction that explores futuristic science and technology
Mystery,Suspenseful stories involving crime investigation and problem solving
Romance,Stories centered on love relationships and emotional journeys
Biography,Detailed accounts of real peoples lives written by another person
Fantasy,Stories set in magical worlds with supernatural elements and creatures
History,Books exploring historical events periods and figures in depth
Self-Help,Books designed to guide readers through personal development and growth
Horror,Dark fiction designed to frighten disturb and unsettle the reader
Thriller,Fast paced suspenseful stories with high stakes and tension
Young Adult,Coming of age stories written for teenage and young adult readers
Classic Literature,Timeless works of literature that have stood the test of time
Poetry,Literary works that use rhythm and imagery to evoke emotion
Graphic Novel,Stories told through sequential art and illustrated panels
